date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:08:10	34698/34698	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Feb%202019%2014:08:09%20GMT	https://www.templatemonster.com/es/demo/55732.html	C:/Users/Daimon/Desktop/Prueba/www.templatemonster.com/es/demo/55732.html	(from )
09:08:11	249/249	---MCZ	200	added ('OK')	text/plain	etag:W/%225b8d29b3-248%22	https://www.templatemonster.com/robots.txt		(from )
09:08:11	550/550	---M--	200	added ('OK')	image/png	etag:%2259cea577-226%22	https://s.tmimgcdn.com/img/logo-touch/favicon-16x16.png?d=900f612	C:/Users/Daimon/Desktop/Prueba/s.tmimgcdn.com/img/logo-touch/favicon-16x16623c.png	(from https://www.templatemonster.com/es/demo/55732.html)
09:08:12	1483/1483	---M--	200	added ('OK')	image/png	etag:%2259cea577-5cb%22	https://s.tmimgcdn.com/img/logo-touch/favicon-32x32.png?d=900f612	C:/Users/Daimon/Desktop/Prueba/s.tmimgcdn.com/img/logo-touch/favicon-32x32623c.png	(from https://www.templatemonster.com/es/demo/55732.html)
09:08:12	7226/7226	---M--	200	added ('OK')	image/png	etag:%2259cea577-1c3a%22	https://s.tmimgcdn.com/img/logo-touch/favicon-96x96.png?d=900f612	C:/Users/Daimon/Desktop/Prueba/s.tmimgcdn.com/img/logo-touch/favicon-96x96623c.png	(from https://www.templatemonster.com/es/demo/55732.html)
09:08:12	1747/1747	---M--	200	added ('OK')	image/png	etag:%2259cea577-6d3%22	https://s.tmimgcdn.com/img/logo-touch/android-chrome-36.png?d=900f612	C:/Users/Daimon/Desktop/Prueba/s.tmimgcdn.com/img/logo-touch/android-chrome-36623c.png	(from https://www.templatemonster.com/es/demo/55732.html)
09:08:12	2793/2793	---M--	200	added ('OK')	image/png	etag:%2259cea577-ae9%22	https://s.tmimgcdn.com/img/logo-touch/android-chrome-48.png?d=900f612	C:/Users/Daimon/Desktop/Prueba/s.tmimgcdn.com/img/logo-touch/android-chrome-48623c.png	(from https://www.templatemonster.com/es/demo/55732.html)
09:08:12	4724/4724	---M--	200	added ('OK')	image/png	etag:%2259cea577-1274%22	https://s.tmimgcdn.com/img/logo-touch/android-chrome-72.png?d=900f612	C:/Users/Daimon/Desktop/Prueba/s.tmimgcdn.com/img/logo-touch/android-chrome-72623c.png	(from https://www.templatemonster.com/es/demo/55732.html)
09:08:13	7226/7226	---M--	200	added ('OK')	image/png	etag:%2259cea577-1c3a%22	https://s.tmimgcdn.com/img/logo-touch/android-chrome-96.png?d=900f612	C:/Users/Daimon/Desktop/Prueba/s.tmimgcdn.com/img/logo-touch/android-chrome-96623c.png	(from https://www.templatemonster.com/es/demo/55732.html)
09:08:13	12220/12220	---M--	200	added ('OK')	image/png	etag:%2259cea577-2fbc%22	https://s.tmimgcdn.com/img/logo-touch/android-chrome-144.png?d=900f612	C:/Users/Daimon/Desktop/Prueba/s.tmimgcdn.com/img/logo-touch/android-chrome-144623c.png	(from https://www.templatemonster.com/es/demo/55732.html)
09:08:13	19386/19386	---M--	200	added ('OK')	image/png	etag:%2259cea577-4bba%22	https://s.tmimgcdn.com/img/logo-touch/android-chrome-192.png?d=900f612	C:/Users/Daimon/Desktop/Prueba/s.tmimgcdn.com/img/logo-touch/android-chrome-192623c.png	(from https://www.templatemonster.com/es/demo/55732.html)
09:08:13	18379/18379	---M--	200	added ('OK')	image/png	etag:%2259cea577-47cb%22	https://s.tmimgcdn.com/img/logo-touch/apple-touch-icon-precomposed.png?d=900f612	C:/Users/Daimon/Desktop/Prueba/s.tmimgcdn.com/img/logo-touch/apple-touch-icon-precomposed623c.png	(from https://www.templatemonster.com/es/demo/55732.html)
09:08:13	17305/17305	---M--	200	added ('OK')	image/png	etag:%2259cea577-4399%22	https://s.tmimgcdn.com/img/logo-touch/apple-touch-icon-180.png?d=900f612	C:/Users/Daimon/Desktop/Prueba/s.tmimgcdn.com/img/logo-touch/apple-touch-icon-180623c.png	(from https://www.templatemonster.com/es/demo/55732.html)
09:08:14	13193/13193	---M--	200	added ('OK')	image/png	etag:%2259cea577-3389%22	https://s.tmimgcdn.com/img/logo-touch/apple-touch-icon-152.png?d=900f612	C:/Users/Daimon/Desktop/Prueba/s.tmimgcdn.com/img/logo-touch/apple-touch-icon-152623c.png	(from https://www.templatemonster.com/es/demo/55732.html)
09:08:14	12220/12220	---M--	200	added ('OK')	image/png	etag:%2259cea577-2fbc%22	https://s.tmimgcdn.com/img/logo-touch/apple-touch-icon-144.png?d=900f612	C:/Users/Daimon/Desktop/Prueba/s.tmimgcdn.com/img/logo-touch/apple-touch-icon-144623c.png	(from https://www.templatemonster.com/es/demo/55732.html)
09:08:14	9395/9395	---M--	200	added ('OK')	image/png	etag:%2259cea577-24b3%22	https://s.tmimgcdn.com/img/logo-touch/apple-touch-icon-120.png?d=900f612	C:/Users/Daimon/Desktop/Prueba/s.tmimgcdn.com/img/logo-touch/apple-touch-icon-120623c.png	(from https://www.templatemonster.com/es/demo/55732.html)
09:08:14	8875/8875	---M--	200	added ('OK')	image/png	etag:%2259cea577-22ab%22	https://s.tmimgcdn.com/img/logo-touch/apple-touch-icon-114.png?d=900f612	C:/Users/Daimon/Desktop/Prueba/s.tmimgcdn.com/img/logo-touch/apple-touch-icon-114623c.png	(from https://www.templatemonster.com/es/demo/55732.html)
09:08:15	5127/5127	---M--	200	added ('OK')	image/png	etag:%2259cea577-1407%22	https://s.tmimgcdn.com/img/logo-touch/apple-touch-icon-76.png?d=900f612	C:/Users/Daimon/Desktop/Prueba/s.tmimgcdn.com/img/logo-touch/apple-touch-icon-76623c.png	(from https://www.templatemonster.com/es/demo/55732.html)
09:08:15	4724/4724	---M--	200	added ('OK')	image/png	etag:%2259cea577-1274%22	https://s.tmimgcdn.com/img/logo-touch/apple-touch-icon-72.png?d=900f612	C:/Users/Daimon/Desktop/Prueba/s.tmimgcdn.com/img/logo-touch/apple-touch-icon-72623c.png	(from https://www.templatemonster.com/es/demo/55732.html)
09:08:15	3748/3748	---M--	200	added ('OK')	image/png	etag:%2259cea577-ea4%22	https://s.tmimgcdn.com/img/logo-touch/apple-touch-icon-60.png?d=900f612	C:/Users/Daimon/Desktop/Prueba/s.tmimgcdn.com/img/logo-touch/apple-touch-icon-60623c.png	(from https://www.templatemonster.com/es/demo/55732.html)
09:08:15	3518/3518	---M--	200	added ('OK')	image/png	etag:%2259cea577-dbe%22	https://s.tmimgcdn.com/img/logo-touch/apple-touch-icon-57.png?d=900f612	C:/Users/Daimon/Desktop/Prueba/s.tmimgcdn.com/img/logo-touch/apple-touch-icon-57623c.png	(from https://www.templatemonster.com/es/demo/55732.html)
09:08:16	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2001%20Feb%202019%2014:08:14%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/Users/Daimon/Desktop/Prueba/www.googletagmanager.com/gtm.145445.delayed	(from https://www.templatemonster.com/es/demo/55732.html)
09:08:16	1171192/1171192	---MCZ	200	added ('OK')	text/css	etag:W/%225be9337e-11def8%22	https://s.tmimgcdn.com/css/standalone/livedemo.css?d=1a63017	C:/Users/Daimon/Desktop/Prueba/s.tmimgcdn.com/css/standalone/livedemofccd.css	(from https://www.templatemonster.com/es/demo/55732.html)
09:08:17	5700/5700	---MCZ	200	added ('OK')	text/css	etag:W/%225af021d5-1644%22	https://s.tmimgcdn.com/css/owl.carousel.min.css?d=1a63017	C:/Users/Daimon/Desktop/Prueba/s.tmimgcdn.com/css/owl.carousel.minfccd.css	(from https://www.templatemonster.com/es/demo/55732.html)
09:08:17	1107/1107	---MCZ	200	added ('OK')	text/css	etag:W/%225af021d5-453%22	https://s.tmimgcdn.com/css/owl.theme.min.css?d=1a63017	C:/Users/Daimon/Desktop/Prueba/s.tmimgcdn.com/css/owl.theme.minfccd.css	(from https://www.templatemonster.com/es/demo/55732.html)
09:08:17	809/809	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22592d735d-329%22	https://s.tmimgcdn.com/js/tm/frontend/indclude-js.min.js?d=61e3506	C:/Users/Daimon/Desktop/Prueba/s.tmimgcdn.com/js/tm/frontend/indclude-js.min9228.js	(from https://www.templatemonster.com/es/demo/55732.html)
09:08:18	773953/773953	---MCZ	200	added ('OK')	text/css	etag:W/%225922f216-bcf41%22	https://s.tmimgcdn.com/css/svg-icons.css?d=1a63017	C:/Users/Daimon/Desktop/Prueba/s.tmimgcdn.com/css/svg-iconsfccd.css	(from https://www.templatemonster.com/es/demo/55732.html)
09:08:18	2412/2412	---MCZ	200	added ('OK')	application/x-javascript	date:Fri,%2001%20Feb%202019%2014:08:17%20GMT	https://www.templatemonster.com/es/js/config.js	C:/Users/Daimon/Desktop/Prueba/www.templatemonster.com/es/js/config.js	(from https://www.templatemonster.com/es/demo/55732.html)
